,ds,seasonality_yearly,seasonality_custom,trend,regressor,event_fact,y
0,2020-01-01,0,0,0.0,0.4890948509485095,0,0.4890948509485095
1,2020-01-02,0,0,0.0,0.4809647696476966,0,0.4809647696476966
2,2020-01-03,0,0,0.0,0.4890948509485095,0,0.4890948509485095
3,2020-01-04,0,0,0.0,0.49722493224932257,0,0.49722493224932257
4,2020-01-05,0,0,0.0,0.4890948509485095,0,0.4890948509485095
5,2020-01-06,0,0,0.0,0.49722493224932257,0,0.49722493224932257
6,2020-01-07,0,0,0.0,0.4890948509485095,0,0.4890948509485095
7,2020-01-08,0,0,0.0,0.49722493224932257,0,0.49722493224932257
8,2020-01-09,0,0,0.0,0.4890948509485095,0,0.4890948509485095
9,2020-01-10,0,0,0.0,0.4809647696476966,0,0.4809647696476966
10,2020-01-11,0,0,0.0,0.4890948509485095,0,0.4890948509485095
11,2020-01-12,0,0,0.0,0.49722493224932257,0,0.49722493224932257
12,2020-01-13,0,0,0.0,0.5053550135501357,0,0.5053550135501357
13,2020-01-14,0,0,0.0,0.5134850948509486,0,0.5134850948509486
14,2020-01-15,0,0,0.0,0.5053550135501357,0,0.5053550135501357
15,2020-01-16,0,0,0.0,0.49722493224932257,0,0.49722493224932257
16,2020-01-17,0,0,0.0,0.4890948509485095,0,0.4890948509485095
17,2020-01-18,0,0,0.0,0.4809647696476966,0,0.4809647696476966
18,2020-01-19,0,0,0.0,0.4728346883468835,0,0.4728346883468835
19,2020-01-20,0,0,0.0,0.4647046070460705,0,0.4647046070460705
20,2020-01-21,0,0,0.0,0.4728346883468835,0,0.4728346883468835
21,2020-01-22,0,0,0.0,0.4647046070460705,0,0.4647046070460705
22,2020-01-23,0,0,0.0,0.45657452574525753,0,0.45657452574525753
23,2020-01-24,0,0,0.0,0.4647046070460705,0,0.4647046070460705
24,2020-01-25,0,0,0.0,0.45657452574525753,0,0.45657452574525753
25,2020-01-26,0,0,0.0,0.4484444444444445,0,0.4484444444444445
26,2020-01-27,0,0,0.0,0.44031436314363154,0,0.44031436314363154
27,2020-01-28,0,0,0.0,0.4321842818428185,0,0.4321842818428185
28,2020-01-29,0,0,0.0,0.42405420054200543,0,0.42405420054200543
29,2020-01-30,0,0,0.0,0.4159241192411925,0,0.4159241192411925
30,2020-01-31,0,0,0.0,0.40779403794037944,0,0.40779403794037944
31,2020-02-01,0,0,0.0,0.4159241192411925,0,0.4159241192411925
32,2020-02-02,0,0,0.0,0.42405420054200543,0,0.42405420054200543
33,2020-02-03,0,0,0.0,0.4159241192411925,0,0.4159241192411925
34,2020-02-04,0,0,0.0,0.42405420054200543,0,0.42405420054200543
35,2020-02-05,0,0,0.0,0.4321842818428185,0,0.4321842818428185
36,2020-02-06,0,0,0.0,0.42405420054200543,0,0.42405420054200543
37,2020-02-07,0,0,0.0,0.4159241192411925,0,0.4159241192411925
38,2020-02-08,0,0,0.0,0.42405420054200543,0,0.42405420054200543
39,2020-02-09,0,0,0.0,0.4159241192411925,0,0.4159241192411925
40,2020-02-10,0,0,0.0,0.42405420054200543,0,0.42405420054200543
41,2020-02-11,0,0,0.0,0.4159241192411925,0,0.4159241192411925
42,2020-02-12,0,0,0.0,0.40779403794037944,0,0.40779403794037944
43,2020-02-13,0,0,0.0,0.4159241192411925,0,0.4159241192411925
44,2020-02-14,0,0,0.0,0.40779403794037944,0,0.40779403794037944
45,2020-02-15,0,0,0.0,0.4159241192411925,0,0.4159241192411925
46,2020-02-16,0,0,0.0,0.40779403794037944,0,0.40779403794037944
47,2020-02-17,0,0,0.0,0.4159241192411925,0,0.4159241192411925
48,2020-02-18,0,0,0.0,0.42405420054200543,0,0.42405420054200543
49,2020-02-19,0,0,0.0,0.4159241192411925,0,0.4159241192411925
50,2020-02-20,0,0,0.0,0.40779403794037944,0,0.40779403794037944
51,2020-02-21,0,0,0.0,0.3996639566395665,0,0.3996639566395665
52,2020-02-22,0,0,0.0,0.40779403794037944,0,0.40779403794037944
53,2020-02-23,0,0,0.0,0.3996639566395665,0,0.3996639566395665
54,2020-02-24,0,0,0.0,0.39153387533875345,0,0.39153387533875345
55,2020-02-25,0,0,0.0,0.3834037940379404,0,0.3834037940379404
56,2020-02-26,0,0,0.0,0.37527371273712745,0,0.37527371273712745
57,2020-02-27,0,0,0.0,0.3834037940379404,0,0.3834037940379404
58,2020-02-28,0,0,0.0,0.37527371273712745,0,0.37527371273712745
59,2020-02-29,0,0,0.0,0.3671436314363144,0,0.3671436314363144
60,2020-03-01,0,0,0.0,0.35901355013550146,0,0.35901355013550146
61,2020-03-02,0,0,0.0,0.3508834688346884,0,0.3508834688346884
62,2020-03-03,0,0,0.0,0.35901355013550146,0,0.35901355013550146
63,2020-03-04,0,0,0.0,0.3508834688346884,0,0.3508834688346884
64,2020-03-05,0,0,0.0,0.34275338753387535,0,0.34275338753387535
65,2020-03-06,0,0,0.0,0.3346233062330624,0,0.3346233062330624
66,2020-03-07,0,0,0.0,0.32649322493224936,0,0.32649322493224936
67,2020-03-08,0,0,0.0,0.3183631436314363,0,0.3183631436314363
68,2020-03-09,0,0,0.0,0.32649322493224936,0,0.32649322493224936
69,2020-03-10,0,0,0.0,0.3183631436314363,0,0.3183631436314363
70,2020-03-11,0,0,0.0,0.31023306233062337,0,0.31023306233062337
71,2020-03-12,0,0,0.0,0.3021029810298103,0,0.3021029810298103
72,2020-03-13,0,0,0.0,0.31023306233062337,0,0.31023306233062337
73,2020-03-14,0,0,0.0,0.3021029810298103,0,0.3021029810298103
74,2020-03-15,0,0,0.0,0.31023306233062337,0,0.31023306233062337
75,2020-03-16,0,0,0.0,0.3183631436314363,0,0.3183631436314363
76,2020-03-17,0,0,0.0,0.32649322493224936,0,0.32649322493224936
77,2020-03-18,0,0,0.0,0.3346233062330624,0,0.3346233062330624
78,2020-03-19,0,0,0.0,0.34275338753387535,0,0.34275338753387535
79,2020-03-20,0,0,0.0,0.3346233062330624,0,0.3346233062330624
80,2020-03-21,0,0,0.0,0.32649322493224936,0,0.32649322493224936
81,2020-03-22,0,0,0.0,0.3183631436314363,0,0.3183631436314363
82,2020-03-23,0,0,0.0,0.31023306233062337,0,0.31023306233062337
83,2020-03-24,0,0,0.0,0.3183631436314363,0,0.3183631436314363
84,2020-03-25,0,0,0.0,0.31023306233062337,0,0.31023306233062337
85,2020-03-26,0,0,0.0,0.3021029810298103,0,0.3021029810298103
86,2020-03-27,0,0,0.0,0.31023306233062337,0,0.31023306233062337
87,2020-03-28,0,0,0.0,0.3183631436314363,0,0.3183631436314363
88,2020-03-29,0,0,0.0,0.31023306233062337,0,0.31023306233062337
89,2020-03-30,0,0,0.0,0.3021029810298103,0,0.3021029810298103
90,2020-03-31,0,0,0.0,0.29397289972899737,0,0.29397289972899737
91,2020-04-01,0,0,0.0,0.2858428184281843,0,0.2858428184281843
92,2020-04-02,0,0,0.0,0.29397289972899737,0,0.29397289972899737
93,2020-04-03,0,0,0.0,0.3021029810298103,0,0.3021029810298103
94,2020-04-04,0,0,0.0,0.31023306233062337,0,0.31023306233062337
95,2020-04-05,0,0,0.0,0.3021029810298103,0,0.3021029810298103
96,2020-04-06,0,0,0.0,0.29397289972899737,0,0.29397289972899737
97,2020-04-07,0,0,0.0,0.2858428184281843,0,0.2858428184281843
98,2020-04-08,0,0,0.0,0.2777127371273714,0,0.2777127371273714
99,2020-04-09,0,0,0.0,0.2695826558265583,0,0.2695826558265583
100,2020-04-10,0,0,0.0,0.2777127371273714,0,0.2777127371273714
101,2020-04-11,0,0,0.0,0.2858428184281843,0,0.2858428184281843
102,2020-04-12,0,0,0.0,0.29397289972899737,0,0.29397289972899737
103,2020-04-13,0,0,0.0,0.2858428184281843,0,0.2858428184281843
104,2020-04-14,0,0,0.0,0.2777127371273714,0,0.2777127371273714
105,2020-04-15,0,0,0.0,0.2858428184281843,0,0.2858428184281843
106,2020-04-16,0,0,0.0,0.29397289972899737,0,0.29397289972899737
107,2020-04-17,0,0,0.0,0.2858428184281843,0,0.2858428184281843
108,2020-04-18,0,0,0.0,0.2777127371273714,0,0.2777127371273714
109,2020-04-19,0,0,0.0,0.2858428184281843,0,0.2858428184281843
110,2020-04-20,0,0,0.0,0.2777127371273714,0,0.2777127371273714
111,2020-04-21,0,0,0.0,0.2858428184281843,0,0.2858428184281843
112,2020-04-22,0,0,0.0,0.29397289972899737,0,0.29397289972899737
113,2020-04-23,0,0,0.0,0.2858428184281843,0,0.2858428184281843
114,2020-04-24,0,0,0.0,0.29397289972899737,0,0.29397289972899737
115,2020-04-25,0,0,0.0,0.2858428184281843,0,0.2858428184281843
116,2020-04-26,0,0,0.0,0.29397289972899737,0,0.29397289972899737
117,2020-04-27,0,0,0.0,0.3021029810298103,0,0.3021029810298103
118,2020-04-28,0,0,0.0,0.31023306233062337,0,0.31023306233062337
119,2020-04-29,0,0,0.0,0.3183631436314363,0,0.3183631436314363
120,2020-04-30,0,0,0.0,0.32649322493224936,0,0.32649322493224936
121,2020-05-01,0,0,0.0,0.3183631436314363,0,0.3183631436314363
122,2020-05-02,0,0,0.0,0.32649322493224936,0,0.32649322493224936
123,2020-05-03,0,0,0.0,0.3346233062330624,0,0.3346233062330624
124,2020-05-04,0,0,0.0,0.32649322493224936,0,0.32649322493224936
125,2020-05-05,0,0,0.0,0.3346233062330624,0,0.3346233062330624
126,2020-05-06,0,0,0.0,0.32649322493224936,0,0.32649322493224936
127,2020-05-07,0,0,0.0,0.3183631436314363,0,0.3183631436314363
128,2020-05-08,0,0,0.0,0.32649322493224936,0,0.32649322493224936
129,2020-05-09,0,0,0.0,0.3346233062330624,0,0.3346233062330624
130,2020-05-10,0,0,0.0,0.32649322493224936,0,0.32649322493224936
131,2020-05-11,0,0,0.0,0.3183631436314363,0,0.3183631436314363
132,2020-05-12,0,0,0.0,0.32649322493224936,0,0.32649322493224936
133,2020-05-13,0,0,0.0,0.3346233062330624,0,0.3346233062330624
134,2020-05-14,0,0,0.0,0.32649322493224936,0,0.32649322493224936
135,2020-05-15,0,0,0.0,0.3183631436314363,0,0.3183631436314363
136,2020-05-16,0,0,0.0,0.31023306233062337,0,0.31023306233062337
137,2020-05-17,0,0,0.0,0.3183631436314363,0,0.3183631436314363
138,2020-05-18,0,0,0.0,0.31023306233062337,0,0.31023306233062337
139,2020-05-19,0,0,0.0,0.3021029810298103,0,0.3021029810298103
140,2020-05-20,0,0,0.0,0.31023306233062337,0,0.31023306233062337
141,2020-05-21,0,0,0.0,0.3021029810298103,0,0.3021029810298103
142,2020-05-22,0,0,0.0,0.31023306233062337,0,0.31023306233062337
143,2020-05-23,0,0,0.0,0.3183631436314363,0,0.3183631436314363
144,2020-05-24,0,0,0.0,0.31023306233062337,0,0.31023306233062337
145,2020-05-25,0,0,0.0,0.3183631436314363,0,0.3183631436314363
146,2020-05-26,0,0,0.0,0.32649322493224936,0,0.32649322493224936
147,2020-05-27,0,0,0.0,0.3346233062330624,0,0.3346233062330624
148,2020-05-28,0,0,0.0,0.32649322493224936,0,0.32649322493224936
149,2020-05-29,0,0,0.0,0.3183631436314363,0,0.3183631436314363
150,2020-05-30,0,0,0.0,0.32649322493224936,0,0.32649322493224936
151,2020-05-31,0,0,0.0,0.3346233062330624,0,0.3346233062330624
152,2020-06-01,0,0,0.0,0.34275338753387535,0,0.34275338753387535
153,2020-06-02,0,0,0.0,0.3508834688346884,0,0.3508834688346884
