,ds,seasonality_yearly_fact,seasonality_custom,trend_fact,regressor,event_fact,y,yhat1,residual1,trend,season_yearly,season_custom_seasonality,events_multiplicative,event_event,future_regressors_multiplicative,future_regressor_regressor
0,2020-01-01,1.9400770137354306,4.3798298321462426e-13,0.0,0.9620253164556962,0,0.0,0.0024760724045336246,0.0024760724045336246,0.002363999607041478,0.3182629942893982,-0.5209702253341675,0.0,0.0,0.25011536478996277,1.272436261177063
1,2020-01-02,1.9555524580297168,0.1430376503342165,0.0020408163265306124,0.9746835443037974,0,0.008312803372791288,0.010884548537433147,0.0025717451646418595,0.009959198534488678,0.32199105620384216,-0.48248329758644104,0.0,0.0,0.2534063458442688,1.2891788482666016
2,2020-01-03,1.9686862604880808,0.24029210985345495,0.004081632653061225,0.9620253164556962,0,0.017024504844070337,0.01964169181883335,0.002617186974763014,0.017554396763443947,0.3250921368598938,-0.45630308985710144,0.0,0.0,0.25011536478996277,1.272436261177063
3,2020-01-04,1.9794903610209058,0.14736241875877965,0.006122448979591837,0.9493670886075949,0,0.02495644817379968,0.027490602806210518,0.0025341546324108392,0.025149593129754066,0.3275713622570038,-0.4813123345375061,0.0,0.0,0.24682435393333435,1.2556936740875244
4,2020-01-05,1.9879868815410462,0.009921202110399485,0.00816326530612245,0.9367088607594937,0,0.032119321995191345,0.03453490138053894,0.002415579385347595,0.032744791358709335,0.3294365406036377,-0.5183013677597046,0.0,0.0,0.24353337287902832,1.2389510869979858
5,2020-01-06,1.9942079109324742,0.2179946984394418,0.010204081632653062,0.9493670886075949,0,0.042464996918158276,0.04498932138085365,0.0025243244626953765,0.040339987725019455,0.3306981027126312,-0.46226879954338074,0.0,0.0,0.24682435393333435,1.2556936740875244
6,2020-01-07,1.9981952330914559,1.0845881364173597,0.012244897959183675,0.9620253164556962,0,0.061773167583238926,0.06483427435159683,0.003061106768357906,0.04793519154191017,0.3313690721988678,-0.22894422709941864,0.0,0.0,0.25011536478996277,1.272436261177063
7,2020-01-08,1.9999999999999907,2.518068582045883,0.014285714285714287,0.9493670886075949,0,0.09239193815219242,0.09636138379573822,0.003969445643545802,0.05553038790822029,0.3314647972583771,0.15700191259384155,0.0,0.0,0.24682435393333435,1.2556936740875244
8,2020-01-09,1.9996823521399887,3.9988997592445608,0.0163265306122449,0.9620253164556962,0,0.1299691008626979,0.1348872184753418,0.0049181176126439075,0.06312558799982071,0.3310030996799469,0.5556888580322266,0.0,0.0,0.25011536478996277,1.272436261177063
9,2020-01-10,1.9973109888937763,4.9166983101086705,0.018367346938775512,0.9746835443037974,0,0.16326170528521675,0.16875286400318146,0.0054911587179647114,0.07072078436613083,0.33000391721725464,0.8027745485305786,0.0,0.0,0.2534063458442688,1.2891788482666016
