metrics_name,value_prophet,value_neuralprophet,configuration_name,run
training_time,3.4702329635620117,20.239782094955444,S1.4,0
predicting_time,1.4203109741210938,0.1327681541442871,S1.4,0
RMSE,0.009875985535551109,0.03417478228911723,S1.4,0
MAE,0.0055853661839578095,0.005771201639824389,S1.4,0
MAPE,0.0023866402771547234,0.0019497041065989912,S1.4,0
MASE,0.03133069437300444,0.03237312448047826,S1.4,0
MSSE,0.0010611254655382954,0.012706248943938224,S1.4,0
SMAPE,0.52781253061572,0.9707742855276519,S1.4,0
WAPE,0.002585957868434082,0.002671997466108533,S1.4,0
RMSE_trend,0.005899661472529629,0.002036747341784248,S1.4,0
MAE_trend,0.0033707750091799423,0.0016297052285227948,S1.4,0
MAPE_trend,0.005716872054935186,0.0028155995634219617,S1.4,0
SMAPE_trend,1.5967299113862137,1.030121417915068,S1.4,0
WAPE_trend,11118618951630.299,5375639545824.469,S1.4,0
RMSE_event,0.00012888877784273276,0.02784793865149288,S1.4,0
MAE_event,1.4857968754672171e-05,0.0032102391634965363,S1.4,0
MAPE_event,0.002234395721213981,0.389244966014989,S1.4,0
SMAPE_event,0.22343957212139828,38.924496601498895,S1.4,0
WAPE_event,20074302764107.22,4337289570147952.0,S1.4,0
RMSE_seasonality_custom,0.00012538898417930924,0.0015337897959794562,S1.4,0
MAE_seasonality_custom,0.00010197186309408718,0.0011859018948360506,S1.4,0
MAPE_seasonality_custom,0.00016327525572864616,0.001603904848278189,S1.4,0
SMAPE_seasonality_custom,0.3622189036252908,6.9507522579222,S1.4,0
WAPE_seasonality_custom,139163771100.85037,1618432524752.0007,S1.4,0
RMSE_seasonality_yearly,0.008150116848294246,0.005461079941779098,S1.4,0
MAE_seasonality_yearly,0.006415465543516895,0.0038476575038227452,S1.4,0
MAPE_seasonality_yearly,0.01959704623792982,0.010941082158209417,S1.4,0
SMAPE_seasonality_yearly,9.946265606659995,4.241739143459647,S1.4,0
WAPE_seasonality_yearly,31773484125209.98,19056058174998.617,S1.4,0
RMSE_regressor,0.009839336422862822,0.46074478400262286,S1.4,0
MAE_regressor,0.007982604073411717,0.37379992351694635,S1.4,0
MAPE_regressor,0.09290951829010723,1.3503878443521933,S1.4,0
SMAPE_regressor,9.290951829011258,135.03879664347417,S1.4,0
WAPE_regressor,-13481419773923.703,-631291948598264.9,S1.4,0
