metrics_name,value_prophet,value_neuralprophet,configuration_name,run
training_time,3.9200050830841064,20.25900387763977,S1.3,0
predicting_time,1.2725391387939453,0.0715630054473877,S1.3,0
RMSE,0.008092733709836913,0.009318909623489297,S1.3,0
MAE,0.0050731417484414015,0.005716669381382403,S1.3,0
MAPE,0.0008368190560301312,0.0009633556893026095,S1.3,0
MASE,0.013467085331855604,0.015175384050078107,S1.3,0
MSSE,0.00020472901523451128,0.00027146828341024733,S1.3,0
SMAPE,0.1987117871763383,0.2195463776574578,S1.3,0
RMSE_trend,0.009932068654259527,0.009287059889978704,S1.3,0
MAE_trend,0.008345873868388087,0.008248533138953617,S1.3,0
MAPE_trend,0.031240095194208423,0.03675307437565949,S1.3,0
SMAPE_trend,9.704019852494177,10.04861432605058,S1.3,0
RMSE_event,2.955569568312526e-05,6.835880127628438e-05,S1.3,0
MAE_event,5.265892772587044e-06,1.2179382324221e-05,S1.3,0
MAPE_event,0.00016589999931946057,0.00038374871583244947,S1.3,0
SMAPE_event,0.016589999931945737,0.03837487158324488,S1.3,0
RMSE_seasonality_custom,8.51780061726986e-05,0.00020117951872612803,S1.3,0
MAE_seasonality_custom,7.305216391592842e-05,0.00015088101899010689,S1.3,0
MAPE_seasonality_custom,6.652767266082143e-05,9.995444967491509e-05,S1.3,0
SMAPE_seasonality_custom,0.30842861825007706,0.2761075365191895,S1.3,0
RMSE_seasonality_yearly,0.011519631331459177,0.0096508408170218,S1.3,0
MAE_seasonality_yearly,0.008353176638845352,0.00588948955083417,S1.3,0
MAPE_seasonality_yearly,0.01193701984835983,0.006813346487095886,S1.3,0
SMAPE_seasonality_yearly,5.074180649221783,3.3240253648225866,S1.3,0
RMSE_regressor,0.004968061316484587,0.009336153614127565,S1.3,0
MAE_regressor,0.0044674930481559474,0.008395468699350673,S1.3,0
MAPE_regressor,0.015305458424506799,0.028142457120007607,S1.3,0
SMAPE_regressor,1.530545842450748,2.814245247647206,S1.3,0
training_time,3.546379804611206,19.867334842681885,S1.3,1
predicting_time,1.3330979347229004,0.07088398933410645,S1.3,1
RMSE,0.008154984450604046,0.009326178703397027,S1.3,1
