metrics_name,value_prophet,value_neuralprophet,configuration_name,run
training_time,2.5355827808380127,15.65169382095337,S1.2,0
predicting_time,1.2478358745574951,0.05283093452453613,S1.2,0
RMSE,0.011276411722213608,0.001023138242867661,S1.2,0
MAE,0.0043412386868850175,0.0004735537705807847,S1.2,0
MAPE,0.00023082375130437452,5.674638493361554e-05,S1.2,0
MASE,0.09728487206616633,0.010612090536873658,S1.2,0
MSSE,0.0019038196496821136,1.567301655294895e-05,S1.2,0
SMAPE,0.33352043822418037,0.036458502672910405,S1.2,0
RMSE_trend,0.011292414098069423,0.0010236102381564784,S1.2,0
MAE_trend,0.0045673797138668926,0.0004781179157179403,S1.2,0
MAPE_trend,0.0027609718324687923,0.0003612891367673038,S1.2,0
SMAPE_trend,2.727531412067732,0.3348919594140739,S1.2,0
RMSE_event,0.00019935996110587774,4.681511355963108e-06,S1.2,0
MAE_event,3.624600704814409e-05,8.511543273936363e-07,S1.2,0
MAPE_event,0.0010959170139901986,2.57488750364596e-05,S1.2,0
SMAPE_event,0.10959170139902015,0.002574887503645944,S1.2,0
RMSE_regressor,0.000566056563142416,2.889595700476947e-05,S1.2,0
MAE_regressor,0.00047872178125127405,2.4436414752320373e-05,S1.2,0
MAPE_regressor,0.0023692337636645406,0.00012108790793353944,S1.2,0
SMAPE_regressor,0.23692337636538513,0.012102360140650614,S1.2,0
training_time,1.9767639636993408,21.442826986312866,S1.2,1
predicting_time,1.29221510887146,0.05170297622680664,S1.2,1
RMSE,0.011199248281413266,0.0010095556586965948,S1.2,1
MAE,0.004733999220024856,0.0005319672188212452,S1.2,1
MAPE,0.0013580906785246997,0.00023411302534730752,S1.2,1
MASE,0.11425388454190208,0.01283889548231911,S1.2,1
MSSE,0.001961725367753261,1.5941199514209446e-05,S1.2,1
SMAPE,0.3976350743058635,0.04783248930615366,S1.2,1
RMSE_trend,0.014242661726194447,0.0012851539158646931,S1.2,1
MAE_trend,0.009869580804537613,0.00093517571089877,S1.2,1
