metrics_name,value_prophet,value_neuralprophet,configuration_name,fold
training_time,3.1088669300079346,6.85796594619751,S1.1,0
predicting_time,2.2274863719940186,0.03775811195373535,S1.1,0
mean_squared_error,5.057707288604331e-05,0.0003873376976624479,S1.1,0
mean_absolute_error,0.0036713975947934136,0.010118585249410499,S1.1,0
median_absolute_percentage_error,0.009647069320993427,0.025057547882264684,S1.1,0
mean_absolute_scaled_error,0.056019794525572625,0.1543938110558581,S1.1,0
MeanSquaredScaledError,0.007071846630526082,0.05415878452004663,S1.1,0
smape,3.958011358133842,10.73804299769486,S1.1,0
wape,-193763728591881.47,-534024102641738.9,S1.1,0
mean_squared_error_trend,7.152807257141036e-05,0.000452828984949321,S1.1,0
mean_absolute_error_trend,0.005642862907441343,0.009096125910166083,S1.1,0
median_absolute_percentage_error_trend,0.0211441821750822,0.021023830140746783,S1.1,0
smape_trend,5.779466436492192,7.219086698358403,S1.1,0
wape_trend,-297810882272526.9,-480062217885223.6,S1.1,0
mean_squared_error_seasonality_custom,1.2227380052758279e-09,2.1671343612243261e-07,S1.1,0
mean_absolute_error_seasonality_custom,2.891533943105413e-05,0.0003637573492038149,S1.1,0
median_absolute_percentage_error_seasonality_custom,0.0003362069093132656,0.006486322850386916,S1.1,0
smape_seasonality_custom,0.4096790649021383,2.303329482845682,S1.1,0
wape_seasonality_custom,779779113095.7292,9809685403159.162,S1.1,0
mean_squared_error_seasonality_yearly,2.9562576628195648e-05,6.715091960201409e-05,S1.1,0
mean_absolute_error_seasonality_yearly,0.004563406285286079,0.006947912926738157,S1.1,0
median_absolute_percentage_error_seasonality_yearly,0.04052612558768892,0.047174161746369715,S1.1,0
smape_seasonality_yearly,8.005364201323081,15.334420718875656,S1.1,0
wape_seasonality_yearly,-700628006112087.5,-1066725615949793.9,S1.1,0
training_time,3.459867000579834,6.927957773208618,S1.1,1
predicting_time,2.145794153213501,0.08551502227783203,S1.1,1
mean_squared_error,2.3064036458756005e-05,0.00014592021745612173,S1.1,1
mean_absolute_error,0.0026596950894960353,0.00743384380241857,S1.1,1
median_absolute_percentage_error,0.0070303408964209144,0.024238158647618444,S1.1,1
mean_absolute_scaled_error,0.03973724129948519,0.11106553007749559,S1.1,1
MeanSquaredScaledError,0.00338315227737934,0.02140433297030062,S1.1,1
smape,2.518233293123926,6.436740843180759,S1.1,1
wape,-70184776253750.875,-196166344795914.5,S1.1,1
mean_squared_error_trend,4.1741335360067196e-05,0.00019153832740849118,S1.1,1
mean_absolute_error_trend,0.005075140650894249,0.008206005969204986,S1.1,1
median_absolute_percentage_error_trend,0.018452519883547847,0.029512365867987167,S1.1,1
smape_trend,5.7230620390172975,6.864365477578789,S1.1,1
wape_trend,-267848455596330.4,-433084751075527.0,S1.1,1
mean_squared_error_seasonality_custom,2.426867326688071e-09,9.912894890836904e-08,S1.1,1
mean_absolute_error_seasonality_custom,4.27150691066388e-05,0.0002731821578918491,S1.1,1
median_absolute_percentage_error_seasonality_custom,0.0008060329925679384,0.0034980383244248704,S1.1,1
smape_seasonality_custom,0.2287405829828794,1.563273082814437,S1.1,1
wape_seasonality_custom,-9740332623380.43,-62293826049924.02,S1.1,1
mean_squared_error_seasonality_yearly,2.5970962270038053e-05,4.551569897498966e-05,S1.1,1
mean_absolute_error_seasonality_yearly,0.0044668411097412266,0.005074343753537523,S1.1,1
median_absolute_percentage_error_seasonality_yearly,0.040730668362207165,0.039367050491588645,S1.1,1
smape_seasonality_yearly,7.114489299341751,7.52850579919237,S1.1,1
wape_seasonality_yearly,-685802180364334.1,-779073158099365.5,S1.1,1
training_time,3.0651891231536865,7.5052649974823,S1.1,2
predicting_time,2.2084109783172607,0.08261609077453613,S1.1,2
mean_squared_error,8.18955132641659e-06,9.139567188626956e-05,S1.1,2
mean_absolute_error,0.0016461069945974468,0.006214890523724814,S1.1,2
median_absolute_percentage_error,0.0037827902651845365,0.020921893651483524,S1.1,2
mean_absolute_scaled_error,0.027446554255723867,0.10362469178044632,S1.1,2
MeanSquaredScaledError,0.0012766575330107575,0.014247541574324599,S1.1,2
smape,2.0995424150036492,6.039650419516611,S1.1,2
wape,-19305746998648.51,-72889006892696.61,S1.1,2
mean_squared_error_trend,2.836899709663224e-05,0.00013212287496157157,S1.1,2
mean_absolute_error_trend,0.004512270948815579,0.007246759228041762,S1.1,2
median_absolute_percentage_error_trend,0.018081236588802,0.024189482977968607,S1.1,2
smape_trend,5.032071937289566,6.288554028489936,S1.1,2
wape_trend,-95256852017252.6,-152983603870558.97,S1.1,2
mean_squared_error_seasonality_custom,2.1504849878740915e-09,5.529829773592048e-08,S1.1,2
mean_absolute_error_seasonality_custom,4.25249699867134e-05,0.00017810878941061685,S1.1,2
median_absolute_percentage_error_seasonality_custom,0.0005943677862264596,0.0026061463791834504,S1.1,2
smape_seasonality_custom,0.13982748156513172,0.6166870855463831,S1.1,2
wape_seasonality_custom,-2197117846876.9102,-9202263988004.56,S1.1,2
mean_squared_error_seasonality_yearly,2.556503961302693e-05,4.3672653133685514e-05,S1.1,2
mean_absolute_error_seasonality_yearly,0.004375596224440448,0.004750468299939468,S1.1,2
median_absolute_percentage_error_seasonality_yearly,0.03585236606869825,0.040218851403676224,S1.1,2
smape_seasonality_yearly,8.534170789547991,6.497068317045387,S1.1,2
wape_seasonality_yearly,-671793188383423.2,-729347974958275.2,S1.1,2
training_time,2.9122488498687744,6.62522292137146,S1.1,3
predicting_time,2.2830920219421387,0.038828134536743164,S1.1,3
mean_squared_error,2.3113893176200996e-05,0.0001467549359414051,S1.1,3
mean_absolute_error,0.00266998682246219,0.007588833116750142,S1.1,3
median_absolute_percentage_error,0.007222035412820757,0.02501224346883177,S1.1,3
mean_absolute_scaled_error,0.045518298543847695,0.12937545927253838,S1.1,3
MeanSquaredScaledError,0.004234389642589887,0.026885024344971233,S1.1,3
smape,2.5259956075879404,6.8448975588481575,S1.1,3
wape,inf,inf,S1.1,3
mean_squared_error_trend,4.168016435806734e-05,0.0001922771653771548,S1.1,3
mean_absolute_error_trend,0.005065543268084225,0.00820397308325617,S1.1,3
median_absolute_percentage_error_trend,0.018894031907228475,0.02873492232580012,S1.1,3
smape_trend,5.610372802138238,6.788753552811567,S1.1,3
wape_trend,-267341938764530.16,-432977462352071.0,S1.1,3
mean_squared_error_seasonality_custom,2.4256227835597367e-09,1.416016105932468e-07,S1.1,3
mean_absolute_error_seasonality_custom,4.274410068913117e-05,0.00033107714108781373,S1.1,3
median_absolute_percentage_error_seasonality_custom,0.0007170229368993887,0.0052107269729422066,S1.1,3
smape_seasonality_custom,0.5517595768897433,1.8719103152179608,S1.1,3
wape_seasonality_custom,978203595693.541,7576737950797.207,S1.1,3
mean_squared_error_seasonality_yearly,2.592211430442165e-05,4.8931967593244625e-05,S1.1,3
mean_absolute_error_seasonality_yearly,0.004470629407135184,0.005222773661968696,S1.1,3
median_absolute_percentage_error_seasonality_yearly,0.04034909270793884,0.03809571375134686,S1.1,3
smape_seasonality_yearly,7.388938968550913,8.295247141558859,S1.1,3
wape_seasonality_yearly,-686383804502918.1,-801861869927818.0,S1.1,3
training_time,3.4072089195251465,6.5814290046691895,S1.1,4
predicting_time,2.340174913406372,0.03708004951477051,S1.1,4
mean_squared_error,2.69090097630514e-06,5.363319386882948e-05,S1.1,4
mean_absolute_error,0.0010377559398004799,0.004886285754188318,S1.1,4
median_absolute_percentage_error,0.0024924546099752494,0.015264241156035472,S1.1,4
mean_absolute_scaled_error,0.01576265860541163,0.0742186589715544,S1.1,4
MeanSquaredScaledError,0.00041353060977232433,0.008242208672824575,S1.1,4
smape,1.5069684989678358,4.981551523849901,S1.1,4
wape,-27384593342501.72,-128940672080790.66,S1.1,4
mean_squared_error_trend,2.1262413713430082e-05,8.0074797417542e-05,S1.1,4
mean_absolute_error_trend,0.004312925073108691,0.006120757993358892,S1.1,4
median_absolute_percentage_error_trend,0.01659350655070803,0.026734880935649123,S1.1,4
smape_trend,5.558526187723275,5.729745920941918,S1.1,4
wape_trend,-91048536338105.5,-129213016022419.17,S1.1,4
mean_squared_error_seasonality_custom,8.628756178965525e-10,4.1488131709104974e-08,S1.1,4
mean_absolute_error_seasonality_custom,2.537411263921054e-05,0.00015225023302662403,S1.1,4
median_absolute_percentage_error_seasonality_custom,0.00041219172621460626,0.0014275775047971806,S1.1,4
smape_seasonality_custom,0.08290859002866253,0.40386102181527317,S1.1,4
wape_seasonality_custom,1425465832351.0051,8553107185768.505,S1.1,4
mean_squared_error_seasonality_yearly,2.376524061511991e-05,3.2572889042280637e-05,S1.1,4
mean_absolute_error_seasonality_yearly,0.004356768278020901,0.004756131079432469,S1.1,4
median_absolute_percentage_error_seasonality_yearly,0.037504258621228935,0.043577002045866536,S1.1,4
